 AGE         ,RAYON       ,LUMINOSITE  ,TEMPERATURE ,TEFF        ,R_RJUP      ,L_LJUP      
  5.76300E+03, 7.79024E+09, 7.18927E+24, 2.14296E+03, 2.00001E+03, 1.08967E+00, 2.14605E+02
  5.96300E+03, 7.77929E+09, 7.05937E+24, 2.14291E+03, 2.00000E+03, 1.08813E+00, 2.10727E+02
  6.16300E+03, 7.76770E+09, 6.79735E+24, 2.14280E+03, 2.00000E+03, 1.08651E+00, 2.02906E+02
  6.36300E+03, 7.75389E+09, 6.15194E+24, 2.14252E+03, 2.00000E+03, 1.08458E+00, 1.83640E+02
  6.56300E+03, 7.74263E+09, 5.77344E+24, 2.14236E+03, 2.00000E+03, 1.08301E+00, 1.72342E+02
  6.76300E+03, 7.73261E+09, 5.51034E+24, 2.14225E+03, 2.00000E+03, 1.08160E+00, 1.64488E+02
  6.96300E+03, 7.72331E+09, 5.31434E+24, 2.14217E+03, 2.00000E+03, 1.08030E+00, 1.58637E+02
  7.16300E+03, 7.71475E+09, 5.17286E+24, 2.14211E+03, 2.00000E+03, 1.07911E+00, 1.54414E+02
  7.36300E+03, 7.70652E+09, 5.04742E+24, 2.14206E+03, 2.00000E+03, 1.07796E+00, 1.50669E+02
  7.56300E+03, 7.69857E+09, 4.93375E+24, 2.14201E+03, 2.00000E+03, 1.07684E+00, 1.47276E+02
  7.76300E+03, 7.69085E+09, 4.82886E+24, 2.14197E+03, 2.00000E+03, 1.07576E+00, 1.44145E+02
  7.87586E+03, 7.68659E+09, 4.77403E+24, 2.14195E+03, 2.00000E+03, 1.07517E+00, 1.42508E+02
  8.00000E+03, 7.68195E+09, 4.71441E+24, 2.14192E+03, 2.00000E+03, 1.07452E+00, 1.40729E+02
  8.13656E+03, 7.67695E+09, 4.65196E+24, 2.14190E+03, 2.00000E+03, 1.07382E+00, 1.38865E+02
  8.28677E+03, 7.67161E+09, 4.59416E+24, 2.14187E+03, 2.00000E+03, 1.07307E+00, 1.37139E+02
  8.45200E+03, 7.66583E+09, 4.53360E+24, 2.14185E+03, 2.00000E+03, 1.07226E+00, 1.35331E+02
  8.63376E+03, 7.65959E+09, 4.46960E+24, 2.14182E+03, 2.00000E+03, 1.07139E+00, 1.33421E+02
  8.83370E+03, 7.65284E+09, 4.40185E+24, 2.14180E+03, 2.00000E+03, 1.07045E+00, 1.31398E+02
  9.03370E+03, 7.64621E+09, 4.33632E+24, 2.14177E+03, 2.00000E+03, 1.06952E+00, 1.29442E+02
  9.23370E+03, 7.63962E+09, 4.26698E+24, 2.14174E+03, 2.00000E+03, 1.06860E+00, 1.27372E+02
  9.43370E+03, 7.63138E+09, 4.02368E+24, 2.14163E+03, 2.00000E+03, 1.06745E+00, 1.20110E+02
  9.63370E+03, 7.62406E+09, 3.84253E+24, 2.14155E+03, 2.00000E+03, 1.06642E+00, 1.14702E+02
  9.80813E+03, 7.61814E+09, 3.71464E+24, 2.14150E+03, 2.00000E+03, 1.06559E+00, 1.10885E+02
  1.00000E+04, 7.61204E+09, 3.59613E+24, 2.14144E+03, 2.00000E+03, 1.06474E+00, 1.07347E+02
