# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.94946717031D-01, 9.34670466378D-01,-5.05328296861D-03,-6.53295336219D-02, 2.26609064271D+30, 8.27345978130D+09, 0.00000000000D+00, 2.78687662988D+10, 7.55445593653D+03, 7.67053800008D-02, 1.00000000000D+00, 6.78941476929D+08, 5.58119982718D+04, 2.07973365300D-01, 2.07973341665D-01, 8.30899205931D+04, 1.92647021954D+11, 7.43519164826D+05, 2.34075404766D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.94310164267D-01, 9.32282232869D-01,-5.68983573325D-03,-6.77177671308D-02, 2.26464083013D+30, 8.25231975966D+09, 0.00000000000D+00, 3.16130483948D+10, 7.75658099715D+03, 8.32808348233D-02, 1.00000000000D+00, 6.78942471747D+08, 8.01484577421D+04, 2.10748583328D-01, 2.10748561182D-01, 1.21863587894D+05, 3.06154832208D+11, 7.65541250265D+05, 2.29993889176D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.93604935459D-01, 9.29829818861D-01,-6.39506454149D-03,-7.01701811386D-02, 2.26303460100D+30, 8.23061162894D+09, 0.00000000000D+00, 3.58016949147D+10, 7.96376362707D+03, 9.02152281876D-02, 1.00000000000D+00, 6.78941128854D+08, 1.15487499730D+05, 2.13135793760D-01, 2.13135773008D-01, 1.79088212843D+05, 4.87992653594D+11, 7.88947743777D+05, 2.26294010880D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.92825460658D-01, 9.27311202704D-01,-7.17453934221D-03,-7.26887972963D-02, 2.26125926919D+30, 8.20831749402D+09, 0.00000000000D+00, 4.04775112646D+10, 8.17601594480D+03, 9.74974737072D-02, 1.00000000000D+00, 6.78941752141D+08, 1.66941761376D+05, 2.15307216793D-01, 2.15307197338D-01, 2.63666278722D+05, 7.79612264152D+11, 8.13515032607D+05, 2.22891395066D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.91965167303D-01, 9.24721978656D-01,-8.03483269705D-03,-7.52780213438D-02, 2.25929986505D+30, 8.18539835643D+09, 0.00000000000D+00, 4.56909065112D+10, 8.39303813847D+03, 1.05133217554D-01, 1.00000000000D+00, 6.78942160617D+08, 2.41958056209D+05, 2.17086329420D-01, 2.17086311165D-01, 3.88787482651D+05, 1.24805981761D+12, 8.38927935623D+05, 2.19690245850D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.91017372614D-01, 9.22058670068D-01,-8.98262738608D-03,-7.79413299325D-02, 2.25714116787D+30, 8.16182344176D+09, 0.00000000000D+00, 5.14947999368D+10, 8.61460900131D+03, 1.13125873388D-01, 1.00000000000D+00, 6.78941585856D+08, 3.51447895568D+05, 2.18858311513D-01, 2.18858294358D-01, 5.74005949080D+05, 2.00115328956D+12, 8.65279860036D+05, 2.16543970016D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.89976471207D-01, 9.19321448133D-01,-1.00235287927D-02,-8.06785518670D-02, 2.25477041082D+30, 8.13759426537D+09, 0.00000000000D+00, 5.79373689732D+10, 8.84092694053D+03, 1.21466522661D-01, 1.00000000000D+00, 6.78941141718D+08, 5.11623189416D+05, 2.21235490702D-01, 2.21235474544D-01, 8.48415377709D+05, 3.21090481033D+12, 8.92403407498D+05, 2.13283086465D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.88837252582D-01, 9.16511462540D-01,-1.11627474181D-02,-8.34885374602D-02, 2.25217572648D+30, 8.11272100402D+09, 0.00000000000D+00, 6.50660910467D+10, 9.07227183384D+03, 1.30142442179D-01, 1.00000000000D+00, 6.78940782455D+08, 7.46573481719D+05, 2.24079426165D-01, 2.24079410914D-01, 1.25531829931D+06, 5.15233045691D+12, 9.20428467300D+05, 2.09938576007D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.87593550876D-01, 9.13627454163D-01,-1.24064491241D-02,-8.63725458375D-02, 2.24934307147D+30, 8.08719251224D+09, 0.00000000000D+00, 7.29362970580D+10, 9.30858367349D+03, 1.39156419615D-01, 1.00000000000D+00, 6.78941429953D+08, 1.09173581173D+06, 2.26054154976D-01, 2.26054140552D-01, 1.85893504656D+06, 8.26771582288D+12, 9.47984926024D+05, 2.06524818153D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.86237379932D-01, 9.10664848998D-01,-1.37626200685D-02,-8.93351510017D-02, 2.24625425653D+30, 8.06096830215D+09, 0.00000000000D+00, 8.16171816637D+10, 9.54931757047D+03, 1.48530792561D-01, 1.00000000000D+00, 6.78941016455D+08, 1.59857271482D+06, 2.28166851519D-01, 2.28166837852D-01, 2.75396747266D+06, 1.32705993946D+13, 9.76694669257D+05, 2.03004524389D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.84763544542D-01, 9.07625565704D-01,-1.52364554578D-02,-9.23744342959D-02, 2.24289744905D+30, 8.03406535720D+09, 0.00000000000D+00, 9.11625470783D+10, 9.79471016625D+03, 1.58233366532D-01, 1.00000000000D+00, 6.78940528157D+08, 2.34406128844D+06, 2.30791000299D-01, 2.30790987321D-01, 4.08133942301D+06, 2.12899954741D+13, 1.00705776133D+06, 1.99363990945D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.83172203150D-01, 9.04520595912D-01,-1.68277968499D-02,-9.54794040876D-02, 2.23927300989D+30, 8.00658097247D+09, 0.00000000000D+00, 1.01592972956D+11, 1.00461715024D+04, 1.68136891793D-01, 1.00000000000D+00, 6.78930412124D+08, 3.44719415628D+06, 2.40242386194D-01, 2.40242373839D-01, 6.05359123748D+06, 3.40913102526D+13, 1.04980952569D+06, 1.95681181020D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.81481187899D-01, 9.01386933405D-01,-1.85188121008D-02,-9.86130665954D-02, 2.23542155356D+30, 7.97884260729D+09, 0.00000000000D+00, 1.12811562266D+11, 1.03087245101D+04, 1.77858381807D-01, 1.00000000000D+00, 6.78931360765D+08, 5.11250047896D+06, 2.52188100131D-01, 2.52188088341D-01, 9.00742970669D+06, 5.43187184986D+13, 1.09857948007D+06, 1.92338455381D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.79687504166D-01, 8.98216371192D-01,-2.03124958337D-02,-1.01783628808D-01, 2.23133625949D+30, 7.95077761552D+09, 0.00000000000D+00, 1.24857155400D+11, 1.05818008877D+04, 1.87414893204D-01, 1.00000000000D+00, 6.78932804519D+08, 7.63912065486D+06, 2.62861944960D-01, 2.62861933687D-01, 1.34414622470D+07, 8.64808564356D+13, 1.14627409556D+06, 1.89570677850D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.77785543208D-01, 8.94997971167D-01,-2.22144567918D-02,-1.05002028833D-01, 2.22700435321D+30, 7.92228917588D+09, 0.00000000000D+00, 1.37788167046D+11, 1.08643333362D+04, 1.96945754992D-01, 1.00000000000D+00, 6.79013305126D+08, 1.14824555066D+07, 2.46054752497D-01, 2.46054741698D-01, 2.01051063733D+07, 1.37953585827D+14, 1.14585167684D+06, 1.87338764252D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.75551306194D-01, 8.91392606909D-01,-2.44486938058D-02,-1.08607393091D-01, 2.22191565499D+30, 7.89037542952D+09, 0.00000000000D+00, 1.53180027244D+11, 1.11111130914D+04, 2.09479369423D-01, 1.00000000000D+00, 6.78997518128D+08, 1.65031784308D+07, 1.81913005182D-01, 1.81912994770D-01, 2.94309968437D+07, 2.27532243850D+14, 1.08044273782D+06, 1.81094870701D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.72865177822D-01, 8.87314264499D-01,-2.71348221783D-02,-1.12685735501D-01, 2.21579772901D+30, 7.85427500363D+09, 0.00000000000D+00, 1.71961062790D+11, 1.13064638696D+04, 2.26275923919D-01, 1.00000000000D+00, 6.78980559155D+08, 2.23111847329D+07, 1.22078236466D-01, 1.22078226282D-01, 4.17742361908D+07, 3.79012277888D+14, 1.03959251969D+06, 1.66775480587D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.69570384698D-01, 8.82678850213D-01,-3.04296153020D-02,-1.17321149787D-01, 2.20829350819D+30, 7.81324352244D+09, 0.00000000000D+00, 1.95385471826D+11, 1.14338050394D+04, 2.48656748668D-01, 1.00000000000D+00, 6.78857375067D+08, 2.78860149468D+07, 9.32576671379D-02, 9.32576568714D-02, 5.69182937292D+07, 6.23043830787D+14, 1.04093943883D+06, 1.42132643754D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.66231348411D-01, 8.78329733181D-01,-3.37686515888D-02,-1.21670266819D-01, 2.20068851914D+30, 7.77474627004D+09, 0.00000000000D+00, 2.19527153391D+11, 1.16027867165D+04, 2.68912873940D-01, 1.00000000000D+00, 6.78886047242D+08, 3.64062893401D+07, 1.50750762618D-01, 1.50750752462D-01, 7.90041533652D+07, 9.42015507234D+14, 1.14066288274D+06, 1.27671046745D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.62853322807D-01, 8.74191374569D-01,-3.71466771933D-02,-1.25808625431D-01, 2.19299472802D+30, 7.73811459635D+09, 0.00000000000D+00, 2.44338765903D+11, 1.18072456422D+04, 2.86765475226D-01, 1.00000000000D+00, 6.78918310076D+08, 4.92739028215D+07, 1.61359621262D-01, 1.61359611724D-01, 1.11370567340D+08, 1.37496614292D+15, 1.20375523212D+06, 1.28155523627D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.59127047939D-01, 8.69866923451D-01,-4.08729520610D-02,-1.30133076549D-01, 2.18450776439D+30, 7.69983568021D+09, 0.00000000000D+00, 2.72140751384D+11, 1.19950462538D+04, 3.05682349900D-01, 1.00000000000D+00, 6.78928723468D+08, 6.52613623203D+07, 1.34818621031D-01, 1.34818612571D-01, 1.54839403486D+08, 2.02062274541D+15, 1.22035582959D+06, 1.44758439520D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.55116160848D-01, 8.65452568961D-01,-4.48838391522D-02,-1.34547431039D-01, 2.17537256795D+30, 7.66076096281D+09, 0.00000000000D+00, 3.02550188322D+11, 1.21783490350D+04, 3.25372169371D-01, 1.00000000000D+00, 6.78915133001D+08, 8.57378495938D+07, 1.55355864259D-01, 1.55355856656D-01, 2.13735063336D+08, 2.94653725318D+15, 1.26828893419D+06, 1.62441997499D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.51012839559D-01, 8.61153570741D-01,-4.89871604408D-02,-1.38846429259D-01, 2.16602684338D+30, 7.62270734910D+09, 0.00000000000D+00, 3.34156891113D+11, 1.23850952432D+04, 3.44198224059D-01, 1.00000000000D+00, 6.78898849020D+08, 1.15173093979D+08, 1.88199072845D-01, 1.88199065755D-01, 2.97737332651D+08, 4.21732863030D+15, 1.32716299384D+06, 1.72785353640D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.46910813028D-01, 8.57036265287D-01,-5.30891869723D-02,-1.42963734713D-01, 2.15668406775D+30, 7.58626203248D+09, 0.00000000000D+00, 3.66236641394D+11, 1.26255106295D+04, 3.61476975387D-01, 1.00000000000D+00, 6.78884700272D+08, 1.59875276947D+08, 2.36236489284D-01, 2.36236482489D-01, 4.21263508146D+08, 5.96866689634D+15, 1.40395353593D+06, 1.75273338495D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.42840464876D-01, 8.53095823578D-01,-5.71595351238D-02,-1.46904176422D-01, 2.14741344280D+30, 7.55138226772D+09, 0.00000000000D+00, 3.98531511161D+11, 1.29005674765D+04, 3.77047155682D-01, 1.00000000000D+00, 6.78919444774D+08, 2.29395601939D+08, 2.58853752924D-01, 2.58853746354D-01, 6.06024109624D+08, 8.44386705532D+15, 1.46345560235D+06, 1.73745247994D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.38603059291D-01, 8.49122189468D-01,-6.13969407086D-02,-1.50877810532D-01, 2.13776232784D+30, 7.51620869245D+09, 0.00000000000D+00, 4.32630310309D+11, 1.31816167301D+04, 3.92438342154D-01, 1.00000000000D+00, 6.78919578298D+08, 3.29782035911D+08, 2.66155374941D-01, 2.66155368610D-01, 8.71571205654D+08, 1.21789380793D+16, 1.51439459545D+06, 1.72283095387D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.34200355354D-01, 8.45113605096D-01,-6.57996446460D-02,-1.54886394904D-01, 2.12773472935D+30, 7.48072574657D+09, 0.00000000000D+00, 4.68565338685D+11, 1.34684160066D+04, 4.07547131611D-01, 1.00000000000D+00, 6.78919427471D+08, 4.74844191846D+08, 2.73447472634D-01, 2.73447466545D-01, 1.25294149794D+09, 1.78147196736D+16, 1.57096697621D+06, 1.70927675115D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.29637327247D-01, 8.41070218944D-01,-7.03626727527D-02,-1.58929781056D-01, 2.11734197654D+30, 7.44493474438D+09, 0.00000000000D+00, 5.06343146977D+11, 1.37610579760D+04, 4.22281818734D-01, 1.00000000000D+00, 6.78918984293D+08, 6.84789984324D+08, 2.81250366440D-01, 2.81250360584D-01, 1.80051650014D+09, 2.63116633265D+16, 1.63202743572D+06, 1.69523717091D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.24923330319D-01, 8.36995198383D-01,-7.50766696807D-02,-1.63004801617D-01, 2.10660537714D+30, 7.40886372263D+09, 0.00000000000D+00, 5.45932977017D+11, 1.40601200479D+04, 4.36621536045D-01, 1.00000000000D+00, 6.78922237390D+08, 9.89606061552D+08, 2.88573908484D-01, 2.88573902843D-01, 2.58735158355D+09, 3.91060598872D+16, 1.68555888759D+06, 1.67954127185D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.20045593340D-01, 8.32874260071D-01,-7.99544066598D-02,-1.67125739929D-01, 2.09549584339D+30, 7.37238624890D+09, 0.00000000000D+00, 5.87491575002D+11, 1.43634081470D+04, 4.50915785884D-01, 1.00000000000D+00, 6.78922518288D+08, 1.42971630488D+09, 2.93092490193D-01, 2.93092484752D-01, 3.71302419003D+09, 5.84224000680D+16, 1.72419752436D+06, 1.66399047952D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.15001288344D-01, 8.28704572126D-01,-8.49987116565D-02,-1.71295427874D-01, 2.08400693433D+30, 7.33547725610D+09, 0.00000000000D+00, 6.31097292098D+11, 1.46701451556D+04, 4.65273967171D-01, 1.00000000000D+00, 6.78922846939D+08, 2.06331965307D+09, 2.97014457518D-01, 2.97014452265D-01, 5.31886665821D+09, 8.75537622519D+16, 1.76058380447D+06, 1.64953914256D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.09789699726D-01, 8.24485503729D-01,-9.02103002739D-02,-1.75514496271D-01, 2.07213702010D+30, 7.29813116039D+09, 0.00000000000D+00, 6.76813099262D+11, 1.49798314568D+04, 4.79741977690D-01, 1.00000000000D+00, 6.78923216969D+08, 2.97299198399D+09, 3.00222780448D-01, 3.00222775368D-01, 7.60342718593D+09, 1.31394291662D+17, 1.79379109411D+06, 1.63648179291D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.04409351868D-01, 8.20216207949D-01,-9.55906481318D-02,-1.79783792051D-01, 2.05988273982D+30, 7.26034046494D+09, 0.00000000000D+00, 7.24711048709D+11, 1.52918809570D+04, 4.94381255512D-01, 1.00000000000D+00, 6.78923622547D+08, 4.27449965054D+09, 3.02607705953D-01, 3.02607701034D-01, 1.08431910799D+10, 1.97209253382D+17, 1.82294156854D+06, 1.62509511794D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.98857958851D-01, 8.15895727048D-01,-1.01142041149D-01,-1.84104272952D-01, 2.04723888708D+30, 7.22209669214D+09, 0.00000000000D+00, 7.74873238407D+11, 1.56056234823D+04, 5.09257866998D-01, 1.00000000000D+00, 6.78922791824D+08, 6.12872004228D+09, 3.04576201052D-01, 3.04576196282D-01, 1.54205726042D+10, 2.95730568921D+17, 1.85057223277D+06, 1.61547567605D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.93139261138D-01, 8.11527810316D-01,-1.06860738862D-01,-1.88472189684D-01, 2.03421398117D+30, 7.18343302969D+09, 0.00000000000D+00, 8.27329210875D+11, 1.59211282364D+04, 5.24340547732D-01, 1.00000000000D+00, 6.78923243201D+08, 8.76393802662D+09, 3.06330864850D-01, 3.06330860218D-01, 2.18715083611D+10, 4.42600877834D+17, 1.87840702968D+06, 1.60684412482D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.87252336041D-01, 8.07112362280D-01,-1.12747663959D-01,-1.92887637720D-01, 2.02080592057D+30, 7.14434863250D+09, 0.00000000000D+00, 8.82152144589D+11, 1.62378634880D+04, 5.39662579170D-01, 1.00000000000D+00, 6.78923358983D+08, 1.24931869179D+10, 3.07637008668D-01, 3.07637004163D-01, 3.09292691427D+10, 6.60800509662D+17, 1.90445035911D+06, 1.59905463244D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.81198472496D-01, 8.02651050006D-01,-1.18801527504D-01,-1.97348949994D-01, 2.00701764096D+30, 7.10485825702D+09, 0.00000000000D+00, 9.39396637486D+11, 1.65555671131D+04, 5.55237294913D-01, 1.00000000000D+00, 6.78923464910D+08, 1.77505260448D+10, 3.08674027517D-01, 3.08674023129D-01, 4.36039533346D+10, 9.83654579891D+17, 1.92960054909D+06, 1.59204986218D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.74979134580D-01, 7.98145575178D-01,-1.25020865420D-01,-2.01854424822D-01, 1.99285247692D+30, 7.06497696610D+09, 0.00000000000D+00, 9.99116836917D+11, 1.68739868180D+04, 5.71073728702D-01, 1.00000000000D+00, 6.78923561757D+08, 2.51327898737D+10, 3.09459114618D-01, 3.09459110336D-01, 6.12779291813D+10, 1.45934917768D+18, 1.95402201513D+06, 1.58577014870D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.68595963620D-01, 7.93597654363D-01,-1.31404036380D-01,-2.06402345637D-01, 1.97831416674D+30, 7.02471995435D+09, 0.00000000000D+00, 1.06136628883D+12, 1.71928801580D+04, 5.87178253260D-01, 1.00000000000D+00, 6.78923635057D+08, 3.54565498949D+10, 3.10105776823D-01, 3.10105772640D-01, 8.58351230387D+10, 2.15720165963D+18, 1.97799106564D+06, 1.58015935255D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.62058660499D-01, 7.89014385388D-01,-1.37941339501D-01,-2.10985614612D-01, 1.96342480515D+30, 6.98415004987D+09, 0.00000000000D+00, 1.12611912029D+12, 1.75129811197D+04, 6.03500538923D-01, 1.00000000000D+00, 6.78925552636D+08, 4.98780659263D+10, 3.11894136685D-01, 3.11894132611D-01, 1.19903654833D+11, 3.17563001376D+18, 2.00532810551D+06, 1.58356887527D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.55366863437D-01, 7.84395134676D-01,-1.44633136563D-01,-2.15604865324D-01, 1.94818356816D+30, 6.94326164443D+09, 0.00000000000D+00, 1.19344755455D+12, 1.78337466649D+04, 6.19980712472D-01, 1.00000000000D+00, 6.78925238025D+08, 6.99341607880D+10, 3.13432440422D-01, 3.13432436467D-01, 1.66988103987D+11, 4.65681501078D+18, 2.03809184660D+06, 1.59003659095D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.48529282331D-01, 7.79744679114D-01,-1.51470717669D-01,-2.20255320886D-01, 1.93261029344D+30, 6.90209702178D+09, 0.00000000000D+00, 1.26333282302D+12, 1.81556955902D+04, 6.36507916722D-01, 1.00000000000D+00, 6.78925173124D+08, 9.77848671534D+10, 3.15386611183D-01, 3.15386607345D-01, 2.31945871557D+11, 6.80096443698D+18, 2.07507708098D+06, 1.59454777712D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.41549440451D-01, 7.75063469142D-01,-1.58450559549D-01,-2.24936530858D-01, 1.91671300557D+30, 6.86066016909D+09, 0.00000000000D+00, 1.33580729979D+12, 1.84786585695D+04, 6.53016127935D-01, 1.00000000000D+00, 6.78925308662D+08, 1.36337116420D+11, 3.16695641040D-01, 3.16695637314D-01, 3.21301044892D+11, 9.89361510673D+18, 2.11541473722D+06, 1.59861420966D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.34428180244D-01, 7.70349750085D-01,-1.65571819756D-01,-2.29650249915D-01, 1.90049362332D+30, 6.81893555443D+09, 0.00000000000D+00, 1.41093221881D+12, 1.88020959305D+04, 6.69494982714D-01, 1.00000000000D+00, 6.78925631626D+08, 1.89466475644D+11, 3.17348296237D-01, 3.17348292618D-01, 4.43751801484D+11, 1.43390083052D+19, 2.15423920085D+06, 1.60356340128D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.27164738154D-01, 7.65600897282D-01,-1.72835261846D-01,-2.34399102718D-01, 1.88395040762D+30, 6.77689994500D+09, 0.00000000000D+00, 1.48878843403D+12, 1.91252627545D+04, 6.85999229456D-01, 1.00000000000D+00, 6.78926118446D+08, 2.62283258202D+11, 3.16875055455D-01, 3.16875051936D-01, 6.10797883048D+11, 2.07052402598D+19, 2.18843342078D+06, 1.61059487848D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.19755568076D-01, 7.60813123879D-01,-1.80244431924D-01,-2.39186876121D-01, 1.86707528185D+30, 6.73451982054D+09, 0.00000000000D+00, 1.56949073741D+12, 1.94470877111D+04, 7.02692573567D-01, 1.00000000000D+00, 6.78926177623D+08, 3.61375413254D+11, 3.15295113079D-01, 3.15295109651D-01, 8.37394901257D+11, 2.97856671420D+19, 2.20784897476D+06, 1.61960431201D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.12201722288D-01, 7.55986936367D-01,-1.87798277712D-01,-2.44013063633D-01, 1.84987064268D+30, 6.69179966438D+09, 0.00000000000D+00, 1.65310777309D+12, 1.97671536544D+04, 7.19704353225D-01, 1.00000000000D+00, 6.78926131902D+08, 4.95436683757D+11, 3.13739836349D-01, 3.13739833008D-01, 1.14331128556D+12, 4.26703803795D+19, 2.22626732410D+06, 1.62887611595D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 8.04508003625D-01, 7.51125332836D-01,-1.95491996375D-01,-2.48874667164D-01, 1.83234742906D+30, 6.64876601484D+09, 0.00000000000D+00, 1.73966737345D+12, 2.00855262731D+04, 7.37018747289D-01, 1.00000000000D+00, 6.78926004218D+08, 6.75983071242D+11, 3.12483297592D-01, 3.12483294331D-01, 1.55472803139D+12, 6.08493543535D+19, 2.24576483014D+06, 1.63771407175D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.96680742387D-01, 7.46231949252D-01,-2.03319257613D-01,-2.53768050748D-01, 1.81452005886D+30, 6.60545105654D+09, 0.00000000000D+00, 1.82917871232D+12, 2.04024560936D+04, 7.54601602028D-01, 1.00000000000D+00, 6.78925805255D+08, 9.18214254216D+11, 3.11735163941D-01, 3.11735160757D-01, 2.10620996349D+12, 8.63547958341D+19, 2.26717455758D+06, 1.64551159042D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.88727642703D-01, 7.41310848399D-01,-2.11272357297D-01,-2.58689151601D-01, 1.79640607902D+30, 6.56189075218D+09, 0.00000000000D+00, 1.92163263055D+12, 2.07183576692D+04, 7.72402904867D-01, 1.00000000000D+00, 6.78925544211D+08, 1.24225454047D+12, 3.11676449318D-01, 3.11676446207D-01, 2.84346712758D+12, 1.21949054711D+20, 2.29125211503D+06, 1.65173390922D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.80657648817D-01, 7.36366347553D-01,-2.19342351183D-01,-2.63633652447D-01, 1.77802586095D+30, 6.51812331718D+09, 0.00000000000D+00, 2.01700187001D+12, 2.10337920399D+04, 7.90357464428D-01, 1.00000000000D+00, 6.78925109720D+08, 1.67486540315D+12, 3.12600281127D-01, 3.12600278087D-01, 3.82710970281D+12, 1.71378461056D+20, 2.31928466451D+06, 1.65590326579D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.72483456533D-01, 7.31404399893D-01,-2.27516543467D-01,-2.68595600107D-01, 1.75940832060D+30, 6.47420144752D+09, 0.00000000000D+00, 2.11520941919D+12, 2.13497885667D+04, 8.08356143720D-01, 1.00000000000D+00, 6.78924739893D+08, 2.25246206926D+12, 3.14941123602D-01, 3.14941120628D-01, 5.13881493965D+12, 2.39705747705D+20, 2.35315098762D+06, 1.65745476166D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.64208104171D-01, 7.26424510515D-01,-2.35791895829D-01,-2.73575489485D-01, 1.74056037806D+30, 6.43012076244D+09, 0.00000000000D+00, 2.21628989249D+12, 2.16661064813D+04, 8.26389069516D-01, 1.00000000000D+00, 6.78924756413D+08, 3.02119840723D+12, 3.15168298375D-01, 3.15168295464D-01, 6.88313523194D+12, 3.33875217242D+20, 2.38192029097D+06, 1.65715997845D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.55828994474D-01, 7.21423045820D-01,-2.44171005526D-01,-2.78576954180D-01, 1.72147611781D+30, 6.38584909826D+09, 0.00000000000D+00, 2.32034883223D+12, 2.19817785208D+04, 8.44509586718D-01, 1.00000000000D+00, 6.78924793071D+08, 4.03854514336D+12, 3.15308640428D-01, 3.15308637577D-01, 9.19218981495D+12, 4.63307926283D+20, 2.41078096859D+06, 1.65616350879D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.47350024805D-01, 7.16400360306D-01,-2.52649975195D-01,-2.83599639694D-01, 1.70216441650D+30, 6.34138959292D+09, 0.00000000000D+00, 2.42741412524D+12, 2.22966839241D+04, 8.62711707338D-01, 1.00000000000D+00, 6.78924847553D+08, 5.38001941981D+12, 3.15302219519D-01, 3.15302216724D-01, 1.22393449898D+13, 6.40521738739D+20, 2.43975053302D+06, 1.65466647359D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.38774768129D-01, 7.11356548316D-01,-2.61225231871D-01,-2.88643451684D-01, 1.68263341189D+30, 6.29674308151D+09, 0.00000000000D+00, 2.53751757692D+12, 2.26106572363D+04, 8.80990095239D-01, 1.00000000000D+00, 6.78924917766D+08, 7.14216666701D+12, 3.15094541742D-01, 3.15094539000D-01, 1.62476240286D+13, 8.82222619481D+20, 2.46884824010D+06, 1.65285174655D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 7.30106505925D-01, 7.06291473155D-01,-2.69893494075D-01,-2.93708526845D-01, 1.66289057789D+30, 6.25190835404D+09, 0.00000000000D+00, 2.65069484694D+12, 2.29234912942D+04, 8.99339968292D-01, 1.00000000000D+00, 6.78925001807D+08, 9.44764930691D+12, 3.14636135856D-01, 3.14636133165D-01, 2.15025443180D+13, 1.21060243528D+21, 2.49809450730D+06, 1.65088584326D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
